COMMUNE_NOM,ENFANT_SEXE,NOMBRE_OCCURRENCES,ENFANT_PRENOM,ANNEE
Antibes,M,12,Gabriel,2018
Antibes,M,11,Adam,2017
Antibes,M,10,Mohamed,2012
Antibes,M,10,Adam,2013
Antibes,M,10,Lucas,2013
Antibes,M,10,Rayan,2013
Antibes,F,10,Emma,2017
Antibes,M,10,Tiago,2017
Antibes,M,10,Raphaël,2020
Antibes,M,9,Nolan,2013
Antibes,M,9,Adam,2015
Antibes,F,9,Chloé,2018
Antibes,M,9,Adam,2020
Antibes,M,9,Gabriel,2020
Antibes,M,9,Paul,2020
Antibes,F,8,Emma,2012
Antibes,F,8,Giulia,2013
Antibes,F,8,Lola,2013
Antibes,M,8,Léo,2013
Antibes,M,8,Raphaël,2013
Antibes,M,8,Enzo,2014
Antibes,F,8,Nour,2015
Antibes,F,8,Lina,2016
Antibes,M,8,Gabriel,2016
Antibes,M,8,Raphaël,2016
Antibes,M,8,Gabriel,2017
Antibes,F,8,Mila,2017
Antibes,M,8,Mohamed,2017
Antibes,M,8,Raphaël,2017
Antibes,F,8,Mia,2019
Antibes,F,8,Rose,2019
Antibes,M,8,Arthur,2020
Antibes,M,8,Rayan,2020
Antibes,M,8,Ilyan,2020
Antibes,M,8,Léo,2020
Antibes,F,8,Chloé,2020
Antibes,F,8,Lina,2021
Antibes,M,8,Elio,2022
Antibes,M,7,Adam,2012
Antibes,M,7,Antoine,2012
Antibes,M,7,Enzo,2012
Antibes,M,7,Noah,2012
Antibes,F,7,Alice,2013
Antibes,F,7,Emma,2013
Antibes,F,7,Jade,2013
Antibes,F,7,Léa,2014
Antibes,M,7,Adam,2014
Antibes,M,7,Mohamed,2015
Antibes,M,7,Nolan,2015
Antibes,F,7,Emma,2016
Antibes,F,7,Giulia,2016
Antibes,M,7,Ethan,2016
Antibes,F,7,Julia,2017
Antibes,F,7,Nour,2017
Antibes,M,7,Adam,2018
Antibes,M,7,Raphaël,2018
Antibes,F,7,Léa,2019
