COMMUNE_NOM,ENFANT_SEXE,NOMBRE_OCCURRENCES,ENFANT_PRENOM,ANNEE
Antibes,M,12,Gabriel,2018
Antibes,M,11,Adam,2017
Antibes,M,10,Mohamed,2012
Antibes,M,10,Adam,2013
Antibes,M,10,Lucas,2013
Antibes,M,10,Rayan,2013
Antibes,M,10,Tiago,2017
Antibes,F,10,Emma,2017
Antibes,F,9,Chloé,2018
Antibes,F,8,Emma,2012
Antibes,F,8,Giulia,2013
Antibes,F,8,Lola,2013
Antibes,F,8,Nour,2015
Antibes,F,8,Lina,2016
Antibes,F,8,Mila,2017
Antibes,F,8,Mia,2019
Antibes,F,8,Rose,2019
Antibes,F,8,Chloé,2020
Antibes,F,8,Lina,2021
