COMMUNE_NOM,ENFANT_SEXE,ENFANT_PRENOM,URL_IMAGE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antibes,M,Mohamed,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,10,0,0,0,0,0,0,0,0,0,0
Antibes,F,Emma,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,8,0,0,0,0,0,0,0,0,0,0
Antibes,M,Adam,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,7,0,0,0,0,0,0,0,0,0,0
Antibes,M,Antoine,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,7,0,0,0,0,0,0,0,0,0,0
Antibes,M,Enzo,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,7,0,0,0,0,0,0,0,0,0,0
Antibes,M,Noah,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,7,0,0,0,0,0,0,0,0,0,0
Antibes,F,Lina,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,6,0,0,0,0,0,0,0,0,0,0
Antibes,F,Romane,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,6,0,0,0,0,0,0,0,0,0,0
Antibes,M,Adem,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,6,0,0,0,0,0,0,0,0,0,0
Antibes,M,Raphaël,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,6,0,0,0,0,0,0,0,0,0,0
Antibes,M,Rayan,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,6,0,0,0,0,0,0,0,0,0,0
Antibes,F,Jade,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,5,0,0,0,0,0,0,0,0,0,0
Antibes,F,Julia,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,5,0,0,0,0,0,0,0,0,0,0
Antibes,F,Léa,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,5,0,0,0,0,0,0,0,0,0,0
Antibes,F,Lucie,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,5,0,0,0,0,0,0,0,0,0,0
Antibes,F,Sarah,https://publier.datasud.fr/media/logos/Logo_ville_dAntibes.jpg,5,0,0,0,0,0,0,0,0,0,0
