COMMUNE_NOM,ENFANT_SEXE,ENFANT_PRENOM,URL_IMAGE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Antibes,M,Mohamed,,10,0,0,0,0,0,0,0,0,0,0
Antibes,F,Emma,,8,0,0,0,0,0,0,0,0,0,0
Antibes,M,Adam,,7,0,0,0,0,0,0,0,0,0,0
Antibes,M,Antoine,,7,0,0,0,0,0,0,0,0,0,0
Antibes,M,Enzo,,7,0,0,0,0,0,0,0,0,0,0
Antibes,M,Noah,,7,0,0,0,0,0,0,0,0,0,0
Antibes,F,Lina,,6,0,0,0,0,0,0,0,0,0,0
Antibes,F,Romane,,6,0,0,0,0,0,0,0,0,0,0
Antibes,M,Adem,,6,0,0,0,0,0,0,0,0,0,0
Antibes,M,Raphaël,,6,0,0,0,0,0,0,0,0,0,0
Antibes,M,Rayan,,6,0,0,0,0,0,0,0,0,0,0
Antibes,F,Jade,,5,0,0,0,0,0,0,0,0,0,0
Antibes,F,Julia,,5,0,0,0,0,0,0,0,0,0,0
Antibes,F,Léa,,5,0,0,0,0,0,0,0,0,0,0
Antibes,F,Lucie,,5,0,0,0,0,0,0,0,0,0,0
Antibes,F,Sarah,,5,0,0,0,0,0,0,0,0,0,0
Antibes,F,Victoria,,5,0,0,0,0,0,0,0,0,0,0
Antibes,F,Yasmine,,5,0,0,0,0,0,0,0,0,0,0
Antibes,F,Zoé,,5,0,0,0,0,0,0,0,0,0,0
Paris,F,Chloé,,269,0,0,0,0,0,0,0,0,0,0
Paris,M,Gabriel,,371,0,0,0,0,0,0,0,0,0,0
Paris,F,Louise,,307,0,0,0,0,0,0,0,0,0,0
Paris,F,Inès,,201,0,0,0,0,0,0,0,0,0,0
Paris,M,Adam,,341,0,0,0,0,0,0,0,0,0,0
Paris,M,Arthur,,299,0,0,0,0,0,0,0,0,0,0
Antibes,M,Adam,,0,10,0,0,0,0,0,0,0,0,0
Antibes,M,Lucas,,0,10,0,0,0,0,0,0,0,0,0
Antibes,M,Rayan,,0,10,0,0,0,0,0,0,0,0,0
Antibes,M,Nolan,,0,9,0,0,0,0,0,0,0,0,0
Antibes,F,Giulia,,0,8,0,0,0,0,0,0,0,0,0
Antibes,F,Lola,,0,8,0,0,0,0,0,0,0,0,0
Antibes,M,Léo,,0,8,0,0,0,0,0,0,0,0,0
Antibes,M,Raphaël,,0,8,0,0,0,0,0,0,0,0,0
Antibes,F,Alice,,0,7,0,0,0,0,0,0,0,0,0
Antibes,F,Emma,,0,7,0,0,0,0,0,0,0,0,0
