COMMUNE_NOM,ENFANT_SEXE,NOMBRE_OCCURRENCES,ENFANT_PRENOM,ANNEE
Paris,F,269,Chloé,2012
Paris,M,371,Gabriel,2012
Paris,F,307,Louise,2012
Paris,F,201,Inès,2012
Paris,M,341,Adam,2012
Paris,M,299,Arthur,2012
Paris,M,332,Adam,2013
Paris,F,229,Alice,2013
Paris,F,346,Louise,2013
Paris,M,381,Gabriel,2013
Paris,F,236,Chloé,2013
Paris,M,280,Raphaël,2013
Paris,M,369,Gabriel,2014
Paris,F,211,Inès,2014
Paris,F,310,Louise,2014
Paris,M,316,Raphaël,2014
Paris,M,344,Adam,2014
Paris,F,217,Chloé,2014
Paris,F,292,Louise,2015
Paris,F,245,Alice,2015
Paris,F,206,Chloé,2015
Paris,M,355,Gabriel,2015
Paris,M,356,Adam,2015
Paris,M,320,Raphaël,2015
Paris,M,342,Raphaël,2016
Paris,F,291,Louise,2016
Paris,F,209,Emma,2016
Paris,M,353,Adam,2016
Paris,F,208,Alice,2016
Paris,M,370,Gabriel,2016
Paris,M,290,Raphaël,2017
Paris,F,191,Chloé,2017
Paris,F,201,Alice,2017
Paris,F,221,Louise,2017
Paris,M,318,Adam,2017
Paris,M,379,Gabriel,2017
Paris,M,301,Adam,2018
Paris,F,226,Louise,2018
Paris,M,338,Gabriel,2018
Paris,F,199,Alice,2018
Paris,F,189,Emma,2018
Paris,M,264,Arthur,2018
Paris,M,282,Arthur,2019
Paris,F,180,Alice,2019
Paris,M,292,Adam,2019
Paris,F,223,Louise,2019
Paris,F,195,Jeanne,2019
Paris,M,371,Gabriel,2019
Paris,M,285,Adam,2020
Paris,F,208,Louise,2020
Paris,M,312,Gabriel,2020
Paris,F,159,Alma,2020
Paris,F,162,Alice,2020
Paris,M,252,Raphaël,2020
Paris,M,245,Louis,2021
Paris,M,250,Adam,2021
Paris,F,178,Emma,2021
Paris,M,357,Gabriel,2021
Paris,F,217,Louise,2021
Paris,F,207,Alma,2021
Paris,M,250,Raphaël,2022
Paris,F,211,Alma,2022
Paris,M,332,Gabriel,2022
Paris,M,254,Adam,2022
Paris,F,210,Louise,2022
Paris,F,152,Emma,2022
