Nombre prénoms déclarés;Sexe;Annee;Prenoms;Nombre total cumule par annee
7;F;2012;Abigail;7
46;M;2012;Achille;46
14;F;2012;Adélaïde;14
11;M;2012;Adil;11
77;F;2012;Alix;84
9;F;2012;Amel;9
7;M;2012;Amin;7
28;F;2012;Amina;28
5;F;2012;Annabelle;5
5;F;2012;Artémis;5
14;F;2012;Athénaïs;14
5;M;2012;Cameron;5
13;F;2012;Castille;13
17;F;2012;Céline;17
30;M;2012;Charlie;30
5;F;2012;Claudia;5
7;M;2012;Curtis;7
15;M;2012;Dan;15
7;F;2012;Dana;7
5;F;2012;Daphnée;5
70;F;2012;Diane;70
8;M;2012;El;8
6;F;2012;Éléa;6
72;F;2012;Elsa;72
5;F;2012;Elvire;5
22;M;2012;Elyes;22
5;M;2012;Félicien;5
14;M;2012;Haroun;14
165;M;2012;Hugo;165
11;M;2012;Ilan;11
64;F;2012;Iris;64
7;F;2012;Isabella;7
16;M;2012;Ismael;16
12;M;2012;Jack;12
126;F;2012;Jade;126
38;M;2012;Julien;38
8;M;2012;Leandro;8
127;M;2012;Léo;127
29;M;2012;Lino;29
17;F;2012;Livia;17
6;F;2012;Luisa;6
50;F;2012;Madeleine;50
8;F;2012;Mariame;8
17;M;2012;Mathys;17
5;F;2012;Meryam;5
17;F;2012;Naïla;17
8;F;2012;Nicole;8
27;M;2012;Nino;27
5;F;2012;Perla;5
6;F;2012;Perrine;6
5;F;2012;Ranim;5
51;M;2012;Romain;51
17;M;2012;Sam;17
94;M;2012;Samuel;94
9;M;2012;Sebastian;9
6;F;2012;Serine;6
15;F;2012;Solène;15
10;F;2012;Thalia;10
13;M;2012;Tidiane;13
7;M;2012;Tim;7
5;M;2012;Toma;5
19;F;2012;Valentina;19
6;M;2012;Zakary;6
13;F;2013;Aaliyah;13
332;M;2013;Adam;332
7;M;2013;Aden;7
229;F;2013;Alice;229
6;M;2013;Allan;6
20;M;2013;Ambroise;20
64;M;2013;Amine;64
22;M;2013;Anas;22
59;M;2013;Antonin;59
10;M;2013;Ariel;10
7;M;2013;Aristide;7
7;M;2013;Armel;7
15;F;2013;Colette;15
5;F;2013;Dana;5
5;F;2013;Daniella;5
7;M;2013;Dany;7
42;F;2013;Eden;76
23;F;2013;Emmy;23
103;M;2013;Enzo;103
8;M;2013;Eugène;8
7;M;2013;Eyal;7
8;F;2013;Fatma;8
5;M;2013;Filip;5
22;M;2013;Gaston;22
7;M;2013;George;7
11;F;2013;Hanaé;11
5;M;2013;Hedi;5
30;M;2013;Henri;30
13;M;2013;Ilyan;13
5;F;2013;India;5
28;F;2013;Isaure;28
6;M;2013;Jean-Baptiste;6
6;M;2013;Jude;6
6;F;2013;Kawtar;6
7;M;2013;Kenny;7
20;M;2013;Kylian;20
23;F;2013;Lana;23
15;F;2013;Lara;15
11;M;2013;Lassana;11
43;F;2013;Laura;43
5;F;2013;Layanah;5
46;F;2013;Lila;46
29;F;2013;Lise;29
346;F;2013;Louise;346
12;F;2013;Lya;12
17;M;2013;Malik;17
37;M;2013;Malo;37
91;F;2013;Margaux;91
22;M;2013;Marin;22
75;M;2013;Maxence;75
9;F;2013;Maxime;198
10;F;2013;Melissa;10
7;M;2013;Menahem;7
7;F;2013;Michelle;7
9;M;2013;Mouhamadou;9
5;F;2013;Myla;5
7;M;2013;Mylan;7
9;F;2013;Nadine;9
21;F;2013;Nélia;21
7;F;2013;Neyla;7
5;M;2013;Nolhan;5
64;F;2013;Nour;70
12;F;2013;Paola;12
17;M;2013;Rafaël;17
7;F;2013;Rosa;7
21;M;2013;Ryan;21
40;F;2013;Sirine;40
15;F;2013;Solène;15
43;M;2013;Théodore;43
9;M;2013;Warren;9
12;M;2013;Yani;12
98;M;2013;Yanis;98
6;M;2013;Yasin;6
45;M;2014;Abel;45
23;M;2014;Adel;23
12;M;2014;Adrian;12
27;M;2014;Alban;27
8;F;2014;Alima;8
8;F;2014;Amalia;8
49;F;2014;Aminata;49
45;M;2014;Amine;45
5;F;2014;Anaelle;5
20;F;2014;Ariane;20
11;F;2014;Astrid;11
6;F;2014;Ayah;6
10;M;2014;Ayman;10
8;M;2014;Cheikh;8
6;M;2014;Cyrus;6
