COMMUNE_NOM,COLL_INSEE,ENFANT_SEXE,ENFANT_PRENOM,NOMBRE_OCCURRENCES,ANNEE
Paris,75056,F,Abigail,7,2012
Paris,75056,M,Achille,46,2012
Paris,75056,F,Adélaïde,14,2012
Paris,75056,M,Adil,11,2012
Paris,75056,F,Alix,77,2012
Paris,75056,F,Amel,9,2012
Paris,75056,M,Amin,7,2012
Paris,75056,F,Amina,28,2012
Paris,75056,F,Annabelle,5,2012
Paris,75056,F,Artémis,5,2012
Paris,75056,F,Athénaïs,14,2012
Paris,75056,M,Cameron,5,2012
Paris,75056,F,Castille,13,2012
Paris,75056,F,Céline,17,2012
Paris,75056,M,Charlie,30,2012
Paris,75056,F,Claudia,5,2012
Paris,75056,M,Curtis,7,2012
Paris,75056,M,Dan,15,2012
Paris,75056,F,Dana,7,2012
Paris,75056,F,Daphnée,5,2012
Paris,75056,F,Diane,70,2012
Paris,75056,M,El,8,2012
Paris,75056,F,Éléa,6,2012
Paris,75056,F,Elsa,72,2012
Paris,75056,F,Elvire,5,2012
Paris,75056,M,Elyes,22,2012
Paris,75056,M,Félicien,5,2012
Paris,75056,M,Haroun,14,2012
Paris,75056,M,Hugo,165,2012
Paris,75056,M,Ilan,11,2012
Paris,75056,F,Iris,64,2012
Paris,75056,F,Isabella,7,2012
Paris,75056,M,Ismael,16,2012
Paris,75056,M,Jack,12,2012
Paris,75056,F,Jade,126,2012
Paris,75056,M,Julien,38,2012
Paris,75056,M,Leandro,8,2012
Paris,75056,M,Léo,127,2012
Paris,75056,M,Lino,29,2012
Paris,75056,F,Livia,17,2012
Paris,75056,F,Luisa,6,2012
Paris,75056,F,Madeleine,50,2012
Paris,75056,F,Mariame,8,2012
Paris,75056,M,Mathys,17,2012
Paris,75056,F,Meryam,5,2012
Paris,75056,F,Naïla,17,2012
Paris,75056,F,Nicole,8,2012
Paris,75056,M,Nino,27,2012
Paris,75056,F,Perla,5,2012
Paris,75056,F,Perrine,6,2012
Paris,75056,F,Ranim,5,2012
Paris,75056,M,Romain,51,2012
Paris,75056,M,Sam,17,2012
Paris,75056,M,Samuel,94,2012
Paris,75056,M,Sebastian,9,2012
Paris,75056,F,Serine,6,2012
Paris,75056,F,Solène,15,2012
Paris,75056,F,Thalia,10,2012
Paris,75056,M,Tidiane,13,2012
Paris,75056,M,Tim,7,2012
Paris,75056,M,Toma,5,2012
Paris,75056,F,Valentina,19,2012
Paris,75056,M,Zakary,6,2012
Paris,75056,F,Aaliyah,13,2013
Paris,75056,M,Adam,332,2013
Paris,75056,M,Aden,7,2013
Paris,75056,F,Alice,229,2013
Paris,75056,M,Allan,6,2013
Paris,75056,M,Ambroise,20,2013
Paris,75056,M,Amine,64,2013
Paris,75056,M,Anas,22,2013
Paris,75056,M,Antonin,59,2013
Paris,75056,M,Ariel,10,2013
Paris,75056,M,Aristide,7,2013
Paris,75056,M,Armel,7,2013
Paris,75056,F,Colette,15,2013
Paris,75056,F,Dana,5,2013
Paris,75056,F,Daniella,5,2013
Paris,75056,M,Dany,7,2013
Paris,75056,F,Eden,42,2013
Paris,75056,F,Emmy,23,2013
Paris,75056,M,Enzo,103,2013
Paris,75056,M,Eugène,8,2013
Paris,75056,M,Eyal,7,2013
Paris,75056,F,Fatma,8,2013
Paris,75056,M,Filip,5,2013
Paris,75056,M,Gaston,22,2013
Paris,75056,M,George,7,2013
Paris,75056,F,Hanaé,11,2013
Paris,75056,M,Hedi,5,2013
Paris,75056,M,Henri,30,2013
Paris,75056,M,Ilyan,13,2013
Paris,75056,F,India,5,2013
Paris,75056,F,Isaure,28,2013
Paris,75056,M,Jean-Baptiste,6,2013
Paris,75056,M,Jude,6,2013
Paris,75056,F,Kawtar,6,2013
Paris,75056,M,Kenny,7,2013
Paris,75056,M,Kylian,20,2013
Paris,75056,F,Lana,23,2013
Paris,75056,F,Lara,15,2013
Paris,75056,M,Lassana,11,2013
Paris,75056,F,Laura,43,2013
Paris,75056,F,Layanah,5,2013
Paris,75056,F,Lila,46,2013
Paris,75056,F,Lise,29,2013
Paris,75056,F,Louise,346,2013
Paris,75056,F,Lya,12,2013
Paris,75056,M,Malik,17,2013
Paris,75056,M,Malo,37,2013
Paris,75056,F,Margaux,91,2013
Paris,75056,M,Marin,22,2013
Paris,75056,M,Maxence,75,2013
Paris,75056,F,Maxime,9,2013
Paris,75056,F,Melissa,10,2013
Paris,75056,M,Menahem,7,2013
Paris,75056,F,Michelle,7,2013
Paris,75056,M,Mouhamadou,9,2013
Paris,75056,F,Myla,5,2013
Paris,75056,M,Mylan,7,2013
Paris,75056,F,Nadine,9,2013
Paris,75056,F,Nélia,21,2013
Paris,75056,F,Neyla,7,2013
Paris,75056,M,Nolhan,5,2013
Paris,75056,F,Nour,64,2013
Paris,75056,F,Paola,12,2013
Paris,75056,M,Rafaël,17,2013
Paris,75056,F,Rosa,7,2013
Paris,75056,M,Ryan,21,2013
Paris,75056,F,Sirine,40,2013
Paris,75056,F,Solène,15,2013
Paris,75056,M,Théodore,43,2013
Paris,75056,M,Warren,9,2013
Paris,75056,M,Yani,12,2013
Paris,75056,M,Yanis,98,2013
Paris,75056,M,Yasin,6,2013
Paris,75056,M,Abel,45,2014
Paris,75056,M,Adel,23,2014
Paris,75056,M,Adrian,12,2014
Paris,75056,M,Alban,27,2014
Paris,75056,F,Alima,8,2014
Paris,75056,F,Amalia,8,2014
Paris,75056,F,Aminata,49,2014
Paris,75056,M,Amine,45,2014
Paris,75056,F,Anaelle,5,2014
Paris,75056,F,Ariane,20,2014
Paris,75056,F,Astrid,11,2014
Paris,75056,F,Ayah,6,2014
Paris,75056,M,Ayman,10,2014
Paris,75056,M,Cheikh,8,2014
Paris,75056,M,Cyrus,6,2014
Paris,75056,M,Dylan,21,2014
Paris,75056,M,Elie,30,2014
Paris,75056,F,Éloïse,13,2014
Paris,75056,F,Emilie,39,2014
Paris,75056,M,Fares,11,2014
Paris,75056,F,Félicie,10,2014
Paris,75056,M,Frédéric,5,2014
Paris,75056,M,Gautier,5,2014
Paris,75056,F,Hafsa,14,2014
Paris,75056,F,Hawa,22,2014
Paris,75056,M,Hocine,5,2014
Paris,75056,M,Ilian,20,2014
Paris,75056,M,Islem,5,2014
Paris,75056,M,Jason,8,2014
Paris,75056,M,Julian,24,2014
Paris,75056,F,Julie,45,2014
Paris,75056,M,Kader,5,2014
Paris,75056,F,Kiara,10,2014
Paris,75056,M,Kiyan,5,2014
Paris,75056,F,Lahna,12,2014
Paris,75056,F,Lucia,8,2014
Paris,75056,M,Lyam,18,2014
Paris,75056,F,Lydia,10,2014
Paris,75056,F,Maïwenn,11,2014
Paris,75056,M,Malick,8,2014
Paris,75056,M,Marco,19,2014
Paris,75056,F,Marnie,6,2014
